product_id,time_id,store_id,store_sales,store_cost,unit_sales
1,369,7,11.4,3.99,4.0
1,377,13,8.55,4.0185,3.0
1,414,17,8.55,4.1895,3.0
1,440,24,8.55,3.762,3.0
1,463,7,11.4,4.902,4.0
1,474,11,8.55,2.9925,3.0
1,489,3,8.55,3.6765,3.0
1,500,23,11.4,5.358,4.0
1,529,6,11.4,4.902,4.0
1,534,15,11.4,4.332,4.0
1,570,15,8.55,2.736,3.0
1,574,15,8.55,4.275,3.0
1,576,3,5.7,2.508,2.0
1,590,3,8.55,3.42,3.0
1,594,24,11.4,3.876,4.0
1,596,15,14.25,5.5575,5.0
1,616,24,8.55,4.1895,3.0
1,617,11,8.55,2.9925,3.0
1,628,14,5.7,1.881,2.0
1,629,17,8.55,2.9925,3.0
1,645,17,8.55,3.8475,3.0
1,681,3,5.7,2.508,2.0
1,698,11,8.55,4.0185,3.0
1,720,24,8.55,2.9925,3.0
1,722,11,8.55,4.0185,3.0
1,727,3,8.55,4.104,3.0
2,371,7,2.96,1.2432,4.0
2,377,13,1.48,0.666,2.0
2,377,24,2.22,0.6882,3.0
2,379,3,2.22,0.9546,3.0
2,394,2,0.74,0.296,1.0
2,395,17,2.22,0.777,3.0
2,400,13,3.7,1.5022,5.0
2,401,15,3.7,1.739,5.0
2,412,7,2.22,1.0878,3.0
2,423,13,1.48,0.4736,2.0
2,430,22,1.48,0.6216,2.0
2,443,17,3.7,1.258,5.0
2,459,17,2.22,0.7326,3.0
2,461,24,2.22,0.7548,3.0
2,469,6,2.22,0.9768,3.0
2,478,11,1.48,0.592,2.0
2,480,16,2.22,0.777,3.0
2,488,16,2.96,1.3616,4.0
2,503,24,3.7,1.184,5.0
2,523,13,2.22,1.0434,3.0
2,529,7,1.48,0.592,2.0
2,538,17,2.96,1.3912,4.0
2,539,3,1.48,0.4736,2.0
2,539,7,2.96,1.3024,4.0
2,551,16,2.22,0.7104,3.0
2,557,7,2.96,1.1248,4.0
2,567,13,2.22,0.7548,3.0
2,574,13,2.22,1.0212,3.0
2,580,24,2.22,1.0878,3.0
2,581,16,2.22,1.0434,3.0
2,585,11,2.22,0.7326,3.0
2,594,16,2.22,0.7104,3.0
2,601,24,2.22,0.8658,3.0
2,615,24,2.96,1.48,4.0
2,628,7,2.96,0.9176,4.0
2,636,15,2.22,1.0878,3.0
2,638,16,2.22,0.8658,3.0
2,641,24,2.96,1.332,4.0
2,646,6,1.48,0.7252,2.0
2,647,24,1.48,0.666,2.0
2,648,7,2.96,0.9176,4.0
2,649,11,2.22,0.7326,3.0
2,652,7,1.48,0.5328,2.0
2,652,11,2.96,1.1544,4.0
2,655,11,2.96,1.332,4.0
2,655,15,1.48,0.4736,2.0
2,658,6,2.96,0.9768,4.0
2,671,7,1.48,0.518,2.0
2,676,3,2.96,0.9768,4.0
2,677,2,0.74,0.2294,1.0
2,685,24,2.22,1.11,3.0
2,705,16,2.96,1.036,4.0
2,709,3,2.22,0.7548,3.0
2,717,23,1.48,0.5772,2.0
2,718,13,2.22,0.7548,3.0
3,371,23,1.66,0.5146,2.0
3,373,13,1.66,0.6474,2.0
3,379,16,3.32,1.494,4.0
3,379,17,1.66,0.664,2.0
3,383,24,3.32,1.4276,4.0
3,386,11,2.49,1.1703,3.0
3,400,24,1.66,0.6142,2.0
3,428,11,2.49,0.7968,3.0
3,439,15,2.49,1.1952,3.0
3,440,24,3.32,1.494,4.0
3,446,13,5.8100000000000005,2.4734,7.0
3,447,11,3.32,1.0292,4.0
3,447,17,1.66,0.5478,2.0
3,469,17,3.32,1.0624,4.0
3,472,6,2.49,1.1952,3.0
3,483,15,3.32,1.4276,4.0
3,500,17,2.49,0.8964,3.0
3,515,17,3.32,1.4276,4.0
3,527,15,1.66,0.5312,2.0
3,532,6,3.32,1.0956,4.0
3,534,15,3.32,1.5604,4.0
3,547,23,2.49,0.8217,3.0
3,553,13,2.49,0.8466,3.0
3,569,24,3.32,1.494,4.0
3,575,14,1.66,0.7138,2.0
3,582,7,1.66,0.6142,2.0
3,584,13,2.49,0.8466,3.0
3,585,7,1.66,0.664,2.0
3,612,6,4.15,1.9505,5.0
3,644,13,2.49,0.7719,3.0
3,646,6,2.49,0.7719,3.0
3,653,17,3.32,1.1288,4.0
3,658,24,2.49,1.0707,3.0
3,661,15,2.49,0.7719,3.0
3,661,16,2.49,0.9711,3.0
3,661,24,4.15,1.9505,5.0
3,677,3,3.32,1.2284,4.0
3,696,11,4.15,1.2865,5.0
3,700,13,2.49,1.1703,3.0
3,702,22,0.83,0.3818,1.0
3,707,17,2.49,1.0458,3.0
3,710,7,2.49,0.8217,3.0
3,711,13,2.49,1.0458,3.0
3,720,6,3.32,1.2616,4.0
3,720,24,3.32,1.2616,4.0
3,725,16,2.49,0.7719,3.0
4,367,6,14.56,4.8048,4.0
4,371,7,10.92,5.1324,3.0
4,372,6,7.28,3.5672,2.0
4,377,17,7.28,3.276,2.0
4,377,24,7.28,3.3488,2.0
4,382,17,10.92,3.4944,3.0
4,391,23,10.92,4.0404,3.0
4,395,17,10.92,5.0232,3.0
4,404,23,14.56,6.2608,4.0
4,413,24,10.92,3.3852,3.0
4,416,15,10.92,4.4772,3.0
4,419,13,7.28,2.4024,2.0
4,423,13,7.28,2.4024,2.0
4,438,13,10.92,4.6956,3.0
4,461,7,10.92,5.46,3.0
4,461,24,10.92,5.3508,3.0
4,470,6,10.92,3.7128,3.0
4,470,13,7.28,3.5672,2.0
4,491,16,10.92,4.6956,3.0
4,491,17,7.28,2.9848,2.0
4,495,13,14.56,6.2608,4.0
4,507,15,14.56,6.4064,4.0
4,515,17,10.92,4.2588,3.0
4,520,3,10.92,4.368,3.0
4,520,11,7.28,3.0576,2.0
4,521,24,14.56,6.4064,4.0
4,523,13,14.56,6.6976,4.0
4,532,15,7.28,2.4024,2.0
4,539,3,10.92,5.1324,3.0
4,548,6,7.28,2.912,2.0
4,570,11,10.92,5.3508,3.0
4,574,13,10.92,5.3508,3.0
4,574,17,25.48,8.9908,7.0
4,575,13,7.28,2.9848,2.0
4,592,17,14.56,6.8432,4.0
4,594,16,7.28,2.8392,2.0
4,601,11,10.92,5.3508,3.0
4,606,15,10.92,3.3852,3.0
4,616,11,10.92,4.8048,3.0
4,627,15,18.2,5.642,5.0
4,643,23,7.28,3.276,2.0
4,644,13,7.28,3.5672,2.0
4,645,17,10.92,5.2416,3.0
4,655,15,7.28,2.912,2.0
4,661,3,14.56,5.096,4.0
4,671,7,7.28,2.9848,2.0
4,684,24,14.56,4.8048,4.0
4,688,2,7.28,2.8392,2.0
4,691,17,7.28,2.6936,2.0
4,692,17,10.92,5.3508,3.0
4,705,16,10.92,4.5864,3.0
4,711,24,7.28,2.7664,2.0
4,716,15,10.92,5.1324,3.0
5,377,13,6.57,2.1024,3.0
5,407,17,4.38,1.3578,2.0
5,412,3,8.76,4.2924,4.0
5,414,17,6.57,2.4309,3.0
5,422,7,8.76,3.4164,4.0
5,449,7,4.38,1.4454,2.0
5,454,2,4.38,1.9272,2.0
5,460,3,10.95,3.723,5.0
5,460,24,4.38,1.4454,2.0
5,469,6,6.57,2.2338,3.0
5,480,23,6.57,2.8251,3.0
5,489,23,4.38,1.5768,2.0
5,490,3,8.76,4.1172,4.0
5,501,11,8.76,3.942,4.0
5,502,7,4.38,1.8396,2.0
5,523,14,4.38,1.314,2.0
5,524,15,6.57,2.3652,3.0
5,531,7,6.57,2.2338,3.0
5,531,16,6.57,3.0222,3.0
5,533,17,4.38,1.533,2.0
5,544,17,4.38,1.6206,2.0
5,548,23,8.76,4.0296,4.0
5,550,13,6.57,3.0879,3.0
5,561,11,6.57,1.971,3.0
5,570,16,4.38,2.1462,2.0
5,574,17,8.76,3.8544,4.0
5,582,7,4.38,1.9272,2.0
5,592,11,6.57,3.285,3.0
5,601,11,6.57,2.5623,3.0
5,610,13,4.38,1.4454,2.0
5,616,24,6.57,2.2995,3.0
5,620,13,4.38,1.314,2.0
5,624,24,8.76,3.6792,4.0
5,629,23,6.57,2.4309,3.0
5,632,24,6.57,2.6937,3.0
5,636,16,6.57,2.1681,3.0
5,649,17,6.57,2.1024,3.0
5,654,16,8.76,4.2048,4.0
5,663,6,10.95,3.6135,5.0
5,677,7,8.76,3.5916,4.0
5,687,15,10.95,4.7085,5.0
5,691,16,4.38,1.533,2.0
5,714,13,6.57,3.285,3.0
5,716,6,8.76,3.8544,4.0
6,377,13,3.45,1.2765,3.0
6,383,11,2.3,1.058,2.0
6,386,11,3.45,1.173,3.0
6,387,13,2.3,1.012,2.0
6,402,11,3.45,1.1385,3.0
6,412,3,3.45,1.4835,3.0
6,414,3,3.45,1.6215,3.0
6,427,13,8.05,2.806,7.0
6,430,15,2.3,1.012,2.0
6,445,17,3.45,1.311,3.0
6,447,17,3.45,1.5525,3.0
6,469,17,2.3,1.15,2.0
6,472,6,3.45,1.3455,3.0
6,474,11,6.8999999999999995,2.714,6.0
6,480,23,4.6,2.254,4.0
6,482,16,4.6,1.978,4.0
6,490,3,3.45,1.104,3.0
6,494,15,4.6,1.886,4.0
6,518,24,3.45,1.173,3.0
6,527,15,2.3,1.012,2.0
6,533,17,4.6,1.61,4.0
6,539,3,3.45,1.0695,3.0
6,544,16,4.6,1.932,4.0
6,545,23,3.45,1.173,3.0
6,549,17,5.75,2.1275,5.0
6,550,13,3.45,1.0695,3.0
6,574,13,2.3,0.828,2.0
6,585,16,3.45,1.518,3.0
6,590,6,3.45,1.656,3.0
6,593,17,4.6,2.07,4.0
6,594,24,3.45,1.2075,3.0
6,597,14,2.3,1.012,2.0
