time_id,product_id,store_id,profit_made
369,1,7,7.41
377,1,13,4.5315
414,1,17,4.360500000000001
440,1,24,4.788
463,1,7,6.498
474,1,11,5.557500000000001
489,1,3,4.873500000000001
500,1,23,6.042000000000001
529,1,6,6.498
534,1,15,7.0680000000000005
570,1,15,5.814
574,1,15,4.275
576,1,3,3.192
590,1,3,5.130000000000001
594,1,24,7.524000000000001
596,1,15,8.692499999999999
616,1,24,4.360500000000001
617,1,11,5.557500000000001
628,1,14,3.819
629,1,17,5.557500000000001
645,1,17,4.702500000000001
681,1,3,3.192
698,1,11,4.5315
720,1,24,5.557500000000001
722,1,11,4.5315
727,1,3,4.446000000000001
371,2,7,1.7167999999999999
377,2,13,0.814
377,2,24,1.5318
379,2,3,1.2654
394,2,2,0.444
395,2,17,1.443
400,2,13,2.1978
401,2,15,1.961
412,2,7,1.1322
423,2,13,1.0064
430,2,22,0.8583999999999999
443,2,17,2.442
459,2,17,1.4874
461,2,24,1.4652000000000003
469,2,6,1.2432000000000003
478,2,11,0.888
480,2,16,1.443
488,2,16,1.5984
503,2,24,2.516
523,2,13,1.1766
529,2,7,0.888
538,2,17,1.5688
539,2,3,1.0064
539,2,7,1.6576
551,2,16,1.5096000000000003
557,2,7,1.8352
567,2,13,1.4652000000000003
574,2,13,1.1988
580,2,24,1.1322
581,2,16,1.1766
585,2,11,1.4874
594,2,16,1.5096000000000003
601,2,24,1.3542
615,2,24,1.48
628,2,7,2.0423999999999998
636,2,15,1.1322
638,2,16,1.3542
641,2,24,1.628
646,2,6,0.7548
647,2,24,0.814
648,2,7,2.0423999999999998
649,2,11,1.4874
652,2,7,0.9471999999999999
652,2,11,1.8055999999999999
655,2,11,1.628
655,2,15,1.0064
658,2,6,1.9832
671,2,7,0.962
676,2,3,1.9832
677,2,2,0.5105999999999999
685,2,24,1.11
705,2,16,1.924
709,2,3,1.4652000000000003
717,2,23,0.9027999999999999
718,2,13,1.4652000000000003
371,3,23,1.1454
373,3,13,1.0126
379,3,16,1.8259999999999998
379,3,17,0.9959999999999999
